"filename", "language", "Julia", "JSON with Comments", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\d93490\.julia\dev\QuantumBilliards.jl\.github\workflows\CI.yml", "YAML", 0, 0, 0, 33, 2, 1, 36
"c:\Users\d93490\.julia\dev\QuantumBilliards.jl\.github\workflows\CompatHelper.yml", "YAML", 0, 0, 0, 16, 0, 1, 17
"c:\Users\d93490\.julia\dev\QuantumBilliards.jl\.github\workflows\TagBot.yml", "YAML", 0, 0, 0, 15, 0, 1, 16
"c:\Users\d93490\.julia\dev\QuantumBilliards.jl\QuantumBilliards.jl.code-workspace", "JSON with Comments", 0, 17, 0, 0, 0, 0, 17
"c:\Users\d93490\.julia\dev\QuantumBilliards.jl\README.md", "Markdown", 0, 0, 64, 0, 0, 10, 74
"c:\Users\d93490\.julia\dev\QuantumBilliards.jl\benchmarks\lemonbm.jl", "Julia", 120, 0, 0, 0, 21, 27, 168
"c:\Users\d93490\.julia\dev\QuantumBilliards.jl\benchmarks\righttrianglebm.jl", "Julia", 101, 0, 0, 0, 2, 32, 135
"c:\Users\d93490\.julia\dev\QuantumBilliards.jl\benchmarks\sinaibm.jl", "Julia", 84, 0, 0, 0, 12, 20, 116
"c:\Users\d93490\.julia\dev\QuantumBilliards.jl\benchmarks\spectrumbm.jl", "Julia", 33, 0, 0, 0, 0, 12, 45
"c:\Users\d93490\.julia\dev\QuantumBilliards.jl\benchmarks\stadiumbm.jl", "Julia", 98, 0, 0, 0, 5, 39, 142
"c:\Users\d93490\.julia\dev\QuantumBilliards.jl\benchmarks\sweepbm.jl", "Julia", 68, 0, 0, 0, 7, 17, 92
"c:\Users\d93490\.julia\dev\QuantumBilliards.jl\benchmarks\test.jl", "Julia", 9, 0, 0, 0, 4, 4, 17
"c:\Users\d93490\.julia\dev\QuantumBilliards.jl\benchmarks\trianglebm.jl", "Julia", 127, 0, 0, 0, 22, 33, 182
"c:\Users\d93490\.julia\dev\QuantumBilliards.jl\src\QuantumBilliards.jl", "Julia", 53, 0, 0, 0, 13, 13, 79
